h_tract,w_tract,flow
42003409001,42003020100,429
42003456003,42003020100,397
42003191800,42003020100,360
42003413100,42003020100,342
42003470501,42003020100,342
42003202300,42003020100,338
42003437000,42003020100,331
42003426300,42003020100,330
42003429300,42003020100,327
42003141400,42003982200,320
42003475304,42003020100,315
42003413500,42003020100,313
42003409002,42003020100,310
42003473300,42003020100,310
42003414102,42003020100,309
42003411002,42003020100,304
42003412003,42003020100,303
42003141400,42003020100,300
42003473100,42003020100,293
42003491101,42003020100,289
42003427100,42003020100,288
42003191600,42003020100,285
42003426800,42003020100,285
42003469000,42003020100,281
42003170200,42003020100,280
42003191700,42003020100,280
42003151700,42003020100,275
42003476100,42003020100,275
42003412002,42003020100,272
42003478200,42003020100,271
42003451300,42003020100,267
42003453004,42003452000,266
42003459102,42003020100,265
42003477300,42003020100,263
42003429201,42003020100,261
42003422000,42003020100,258
42003453004,42003459201,257
42003475200,42003020100,256
42003474101,42003020100,253
