GEOID,jobs_inflow,workers_outflow,net_flow
42003560500,190.0,986,-796.0
42003170200,6085.0,1473,4612.0
42003151600,173.0,998,-825.0
42003100500,152.0,862,-710.0
42003140400,259.0,948,-689.0
42003050100,252.0,604,-352.0
42003250900,18.0,459,-441.0
42003980800,1146.0,54,1092.0
42003130600,402.0,748,-346.0
42003564800,533.0,635,-102.0
42003191900,259.0,991,-732.0
42003281500,56.0,677,-621.0
42003465600,1060.0,932,128.0
42003431100,296.0,1503,-1207.0
42003428200,126.0,925,-799.0
42003270300,124.0,772,-648.0
42003141400,899.0,1999,-1100.0
42003101100,1186.0,1286,-100.0
42003080600,501.0,820,-319.0
42003070500,1339.0,1084,255.0
42003140300,1182.0,1301,-119.0
42003472300,381.0,915,-534.0
42003561900,199.0,665,-466.0
42003980900,1480.0,50,1430.0
42003160800,549.0,1041,-492.0
42003130700,292.0,595,-303.0
42003010302,6020.0,378,5642.0
42003563201,2852.0,179,2673.0
42003515401,1061.0,1013,48.0
42003562700,4433.0,867,3566.0
42003111300,403.0,978,-575.0
42003425000,1537.0,1474,63.0
42003300100,242.0,1095,-853.0
42003478200,1044.0,2373,-1329.0
42003981200,5666.0,43,5623.0
42003070900,5719.0,1165,4554.0
42003141200,729.0,1616,-887.0
42003202300,1565.0,1718,-153.0
42003070600,204.0,777,-573.0
42003040500,4573.0,327,4246.0
42003191700,973.0,1448,-475.0
42003090200,5451.0,1122,4329.0
42003130800,462.0,772,-310.0
42003180700,80.0,848,-768.0
42003070300,1515.0,748,767.0
42003020100,72904.0,1741,71163.0
42003080200,395.0,810,-415.0
42003040600,103.0,303,-200.0
42003563202,1309.0,798,511.0
42003120900,4218.0,478,3740.0
42003140500,1405.0,893,512.0
42003180300,275.0,816,-541.0
42003980300,35.0,30,5.0
42003271600,440.0,1475,-1035.0
42003191100,475.0,974,-499.0
42003191800,934.0,2204,-1270.0
42003290200,212.0,1555,-1343.0
42003320400,175.0,801,-626.0
42003480400,236.0,2025,-1789.0
42003476200,453.0,1497,-1044.0
42003141100,53.0,625,-572.0
42003090100,1551.0,943,608.0
42003080700,464.0,781,-317.0
42003051100,233.0,224,9.0
42003140100,5987.0,920,5067.0
42003111500,6688.0,1215,5473.0
42003421100,13963.0,1859,12104.0
42003050600,213.0,711,-498.0
42003040900,9666.0,754,8912.0
42003040400,1587.0,314,1273.0
42003040200,9388.0,352,9036.0
42003020300,9378.0,799,8579.0
42003262000,149.0,798,-649.0
42003260700,38.0,656,-618.0
42003469000,10718.0,2013,8705.0
42003482500,1313.0,824,489.0
42003488300,3878.0,818,3060.0
42003560400,1118.0,628,490.0
42003980000,1758.0,22,1736.0
42003562000,1607.0,608,999.0
42003980400,0.0,57,-57.0
42003564100,808.0,400,408.0
42003981100,23.0,43,-20.0
42003980600,6967.0,50,6917.0
42003101900,575.0,955,-380.0
42003565100,10109.0,1140,8969.0
42003261300,318.0,846,-528.0
42003161000,128.0,1020,-892.0
42003477200,817.0,1736,-919.0
42003465800,202.0,1492,-1290.0
42003488500,3393.0,1146,2247.0
42003459201,19319.0,2745,16574.0
42003523100,625.0,1202,-577.0
42003464400,2462.0,940,1522.0
42003473100,877.0,1790,-913.0
42003473300,1235.0,2130,-895.0
42003160900,9115.0,1235,7880.0
42003170600,92.0,796,-704.0
42003191400,387.0,1145,-758.0
42003191500,160.0,903,-743.0
42003281400,166.0,862,-696.0
42003310200,144.0,1308,-1164.0
42003320600,89.0,1069,-980.0
42003320700,186.0,647,-461.0
42003431500,1350.0,1347,3.0
42003429700,290.0,1056,-766.0
42003429100,3429.0,1159,2270.0
42003427200,336.0,2006,-1670.0
42003427000,912.0,1369,-457.0
42003261500,359.0,580,-221.0
42003261400,436.0,720,-284.0
42003260200,244.0,819,-575.0
42003192000,864.0,1379,-515.0
42003480300,486.0,1579,-1093.0
42003478100,1655.0,1714,-59.0
42003151700,863.0,1965,-1102.0
42003141300,1660.0,1288,372.0
42003110200,299.0,1608,-1309.0
42003101800,155.0,1202,-1047.0
42003080900,3639.0,865,2774.0
42003080400,1569.0,592,977.0
42003070800,1105.0,947,158.0
42003060500,781.0,538,243.0
42003051000,70.0,364,-294.0
42003130200,49.0,348,-299.0
42003120300,83.0,528,-445.0
42003110600,81.0,1049,-968.0
42003424000,2501.0,1322,1179.0
42003562400,456.0,965,-509.0
42003980100,297.0,48,249.0
42003562300,614.0,937,-323.0
42003562500,460.0,952,-492.0
42003980500,163.0,45,118.0
42003980700,3218.0,225,2993.0
42003241300,1613.0,1464,149.0
42003562901,577.0,651,-74.0
42003565300,319.0,610,-291.0
42003464300,360.0,1420,-1060.0
42003561400,421.0,1363,-942.0
42003463900,714.0,992,-278.0
42003191600,587.0,1589,-1002.0
42003428100,47.0,605,-558.0
42003101400,295.0,1491,-1196.0
42003140800,1610.0,1325,285.0
42003515300,804.0,742,62.0
42003423000,766.0,1126,-360.0
42003030500,2308.0,965,1343.0
42003270800,215.0,1140,-925.0
42003481000,450.0,1124,-674.0
42003202200,58.0,996,-938.0
42003563100,529.0,1498,-969.0
42003562800,933.0,609,324.0
42003981000,29.0,52,-23.0
42003140200,133.0,602,-469.0
42003472100,262.0,1109,-847.0
42003484500,444.0,2281,-1837.0
42003050900,83.0,401,-318.0
42003565200,1013.0,1005,8.0
42003010301,106.0,58,48.0
42003470501,395.0,1382,-987.0
42003981800,4364.0,49,4315.0
42003470502,2767.0,1143,1624.0
42003190300,276.0,806,-530.0
42003460002,2789.0,1396,1393.0
42003290100,402.0,789,-387.0
42003270100,163.0,1075,-912.0
42003563000,2734.0,1158,1576.0
42003060300,2170.0,1340,830.0
42003479000,223.0,970,-747.0
42003476100,2168.0,2005,163.0
42003562600,1379.0,968,411.0
42003290400,329.0,1459,-1130.0
42003982200,19720.0,113,19607.0
42003472200,375.0,1020,-645.0
42003111400,208.0,548,-340.0
42003090300,523.0,721,-198.0
